,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
5301 Tech Data Drive,,,,,,,,,
"Clearwater, FL 33760",,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
Customer Information,,,,,,,,Total,"140,594.32"
38021869,,,,,,,,Current,"79,793.40"
MIMI COMPUTER N.V.,,,,,,,,30,"60,800.92"
Tanki Flip 82,,,,,,,,60,
 ,,,,,,,,90,
Tanki Flip,99 ,99999,,,,,,120,
,,,,,,,,,
PO #,Type,Ref. No,Assign. No,Commercial No,Age,Open Amount,Inv Dt,Inv Due Dt,Notes
gh052917,DR,8022482248,8022482248,7022153548,30,244.34,07/03/2017,08/02/2017,-
gh052917,DR,8022519074,8022519074,7022263939,30,244.34,07/10/2017,08/09/2017,-
gh071417,DR,8022630516,8022630516,7022364005,30,978.60,07/17/2017,08/16/2017,-
NG071517,DR,8022632478,8022632478,7022331268,30,995.12,07/17/2017,08/16/2017,-
NG071517,DR,8022632290,8022632290,7022343932,30,"4,222.35",07/17/2017,08/16/2017,-
NG071517,DR,8022630519,8022630519,7022383669,30,"7,988.86",07/17/2017,08/16/2017,-
NG071517,DR,8022630518,8022630518,7022376522,30,"2,467.86",07/17/2017,08/16/2017,-
NG071517,DR,8022630517,8022630517,7022368310,30,343.92,07/17/2017,08/16/2017,-
7/18,DR,8022643437,8022643437,7022409497,30,201.70,07/18/2017,08/17/2017,-
7/18,DR,8022643438,8022643438,7022409514,30,"2,221.09",07/18/2017,08/17/2017,-
7/18,DR,8022652041,8022652041,7022386285,30,"14,307.28",07/18/2017,08/17/2017,-
NG071817FDX,DR,8022652042,8022652042,7022386293,30,"4,447.09",07/18/2017,08/17/2017,-
NG071817FDX,DR,8022652043,8022652043,7022406201,30,"3,040.92",07/18/2017,08/17/2017,-
7/18,DR,8022652044,8022652044,7022406817,30,921.09,07/18/2017,08/17/2017,-
7/18,DR,8022652039,8022652039,7022351683,30,168.22,07/18/2017,08/17/2017,-
NG071817FDX,DR,8022652040,8022652040,7022364349,30,"2,911.59",07/18/2017,08/17/2017,-
7/18,DR,8022644667,8022644667,7022278342,30,796.28,07/18/2017,08/17/2017,-
7/18,DR,8022665215,8022665215,7022420780,30,191.62,07/19/2017,08/18/2017,-
7/18,DR,8022614611,8022614611,7022440097,30,151.16,07/19/2017,08/18/2017,-
Do It Center,DR,8022675121,8022675121,#,30,893.20,07/20/2017,08/19/2017,-
7/18,DR,8022680595,8022680595,7022471538,30,13.74,07/21/2017,08/20/2017,-
NG071517,DR,8022542164,8022542164,7022487598,30,25.86,07/24/2017,08/23/2017,-
NG072217,DR,8022542163,8022542163,7022328885,30,"3,570.00",07/24/2017,08/23/2017,-
NG072217,DR,8022636644,8022636644,#,30,"1,629.60",07/24/2017,08/23/2017,-
NG072217,DR,8022692530,8022692530,#,30,"1,801.65",07/24/2017,08/23/2017,-
NG072217,DR,8022719330,8022719330,7022489629,30,710.70,07/24/2017,08/23/2017,-
gh072417,DR,8022613926,8022613926,7022505029,30,"5,014.02",07/25/2017,08/24/2017,-
NG072217,DR,8022689121,8022689121,7022553555,30,100.70,07/27/2017,08/26/2017,-
-,ZF,690005162,690005162,,30,198.02,07/27/2017,08/26/2017,-
NG080117,DR,8022830957,8022830957,7022656810,Current,29.60,08/01/2017,08/31/2017,-
NG080117,DR,8022830956,8022830956,7022592930,Current,"3,456.52",08/01/2017,08/31/2017,-
7/18,DR,8022153693,8022153693,7022626436,Current,6.87,08/01/2017,08/31/2017,-
Gian 06.29.2017,DR,8022826019,8022826019,#,Current,"1,197.64",08/01/2017,08/31/2017,-
NG080117,DR,8022757558,8022757558,#,Current,"1,656.75",08/02/2017,09/01/2017,-
Aruban Police Dept.,DR,8022832916,8022832916,#,Current,615.15,08/02/2017,09/01/2017,-
NG080117,DR,8022839690,8022839690,7022646810,Current,517.70,08/02/2017,09/01/2017,-
NG080117,DR,8022839691,8022839691,7022652193,Current,97.20,08/02/2017,09/01/2017,-
NG080117,DR,8022839692,8022839692,7022654410,Current,"15,580.78",08/02/2017,09/01/2017,-
NG080117,DR,8022839693,8022839693,7022655438,Current,329.52,08/02/2017,09/01/2017,-
NG072217,DR,8022839694,8022839694,7022658184,Current,"1,487.52",08/02/2017,09/01/2017,-
NG080317,DR,8022845095,8022845095,7022678025,Current,54.16,08/03/2017,09/02/2017,-
NG080317,DR,8022770594,8022770594,7022697512,Current,"5,133.15",08/03/2017,09/02/2017,-
NG080417FDX-BANCO CARIBE,DR,8022888170,8022888170,7022707553,Current,369.24,08/07/2017,09/06/2017,-
NG080517,DR,8022846279,8022846279,7022720985,Current,295.80,08/07/2017,09/06/2017,-
NG080517,DR,8022888171,8022888171,7022715855,Current,389.52,08/07/2017,09/06/2017,-
NG080517,DR,8022873047,8022873047,7022722865,Current,75.17,08/07/2017,09/06/2017,-
NG080517,DR,8022895720,8022895720,7022722925,Current,"1,363.56",08/07/2017,09/06/2017,-
NG080517,DR,8022888169,8022888169,7022656462,Current,"2,251.88",08/07/2017,09/06/2017,-
NG080817FDXparkearikok,DR,8022891225,8022891225,7022675173,Current,"2,729.95",08/08/2017,09/07/2017,-
NG080817FDXparkearikok,DR,8022891228,8022891228,7022749884,Current,"1,437.20",08/08/2017,09/07/2017,-
NG080817,DR,8022891226,8022891226,7022721327,Current,344.74,08/08/2017,09/07/2017,-
NG080817,DR,8022891227,8022891227,7022740080,Current,689.48,08/08/2017,09/07/2017,-
gh080917,DR,8022945636,8022945636,7022797701,Current,"3,784.11",08/10/2017,09/09/2017,-
NG080117,DR,8022952998,8022952998,7022772756,Current,105.60,08/11/2017,09/10/2017,-
7/18,DR,8022952999,8022952999,7022810665,Current,731.83,08/11/2017,09/10/2017,-
NG080817,DR,8022981752,8022981752,7022828625,Current,788.40,08/14/2017,09/13/2017,-
NG081517FDX,DR,8022122745,8022122745,7022870324,Current,367.70,08/15/2017,09/14/2017,-
gh081517,DR,8022122739,8022122739,7022713364,Current,166.23,08/15/2017,09/14/2017,-
NG081517,DR,8023019291,8023019291,7022870864,Current,"3,245.89",08/15/2017,09/14/2017,-
NG081517,DR,8022122740,8022122740,7022831042,Current,"3,219.30",08/15/2017,09/14/2017,-
NG081517,DR,8022122738,8022122738,7021927587,Current,"1,067.25",08/15/2017,09/14/2017,-
NG081517,DR,8022122741,8022122741,7022834441,Current,811.55,08/15/2017,09/14/2017,-
NG081517,DR,8022122742,8022122742,7022844218,Current,"1,546.71",08/15/2017,09/14/2017,-
NG080517,DR,8022122743,8022122743,7022863383,Current,42.30,08/15/2017,09/14/2017,-
gh081517,DR,8022122744,8022122744,7022869006,Current,"4,288.83",08/15/2017,09/14/2017,-
NG081517,DR,8023012126,8023012126,7022883547,Current,"4,737.00",08/16/2017,09/15/2017,-
Alhambra Casino,DR,8023005353,8023005353,#,Current,893.20,08/17/2017,09/16/2017,-
NG081517,DR,8023051258,8023051258,7022912184,Current,199.53,08/18/2017,09/17/2017,-
NG080117,DR,8023051257,8023051257,7022907881,Current,9.95,08/18/2017,09/17/2017,-
NG081517,DR,8023039405,8023039405,7022899323,Current,903.87,08/18/2017,09/17/2017,-
NG080517,DR,8023053246,8023053246,7022946000,Current,241.25,08/21/2017,09/20/2017,-
NG080817,DR,8023076291,8023076291,7022883312,Current,75.20,08/21/2017,09/20/2017,-
NG081517FDX,DR,8023023325,8023023325,#,Current,76.84,08/21/2017,09/20/2017,-
